1,1,Medical ,0,,,
1,2,Pest Control ,0,,,
1,3,Pest Control ,0,,,
1,4,Pest Control ,0,,,
1,5,Pest Control ,4,,,
2,1,Medical ,0,,,
2,2,Pest Control ,0,,,
2,3,Pest Control ,0,,,
2,4,Pest Control ,0,,,
3,1,Medical ,0,,,
3,2,Pest Control ,0,,,
3,3,Pest Control ,0,,,
3,4,Pest Control ,0,,,
3,5,Other Services ,6,,,
4,1,Medical ,0,,,
4,2,Pest Control ,0,,,
4,3,Pest Control ,0,,,
4,4,Pest Control ,0,,,
4,5,Emergency,7,,,
5,1,Pest Control ,0,,,
5,2,Pest Control ,0,,,
5,3,Pest Control ,0,,,
5,4,Pest Control ,0,,,
5,5,Pest Control ,3,,,
6,1,Pest Control ,0,,,
6,2,Emergency,0,,,
6,3,Emergency,0,,,
6,4,Emergency,0,,,
6,5,Emergency,5,,,
7,1,Medical ,0,,,
7,2,Emergency,0,,,
7,3,Emergency,0,,,
7,4,Emergency,0,,,
7,5,Emergency,8,,,
8,1,Other Services ,0,,,
8,2,Other Services ,0,,,
8,3,Emergency,0,,,
8,4,Emergency,0,,,
8,5,Pest Control ,7,,,
9,1,Other Services ,0,,,
9,2,Pest Control ,0,,,
9,3,Pest Control ,0,,,
9,4,Emergency,0,,,
9,5,Emergency,17,,,
10,1,Medical ,0,,,
10,2,Pest Control ,0,,,
10,3,Pest Control ,0,,,
10,4,Emergency,16,,,
11,1,Medical ,0,,,
11,2,Pest Control ,0,,,
11,3,Pest Control ,0,,,
11,4,Other Services ,10,,,
12,1,Medical ,0,,,
12,2,Medical ,0,,,
12,3,Medical ,0,,,
12,4,Pest Control ,5,,,
13,1,Other Services ,0,,,
13,2,Other Services ,0,,,
13,3,Medical ,0,,,
13,4,Medical ,6,,,
14,1,Other Services ,0,,,
14,2,Emergency,0,,,
14,3,Pest Control ,9,,,
15,1,Other Services ,0,,,
15,2,Medical ,0,,,
15,3,Pest Control ,11,,,
16,1,Other Services ,0,,,
16,2,Emergency,0,,,
16,3,Medical ,2,,,
17,1,Medical ,0,,,
17,2,Emergency,0,,,
17,3,Pest Control ,3,,,
18,1,Medical ,0,,,
18,2,Medical ,0,,,
18,3,Pest Control ,5,,,
19,1,Medical ,0,,,
19,2,Medical ,0,,,
19,3,Emergency,18,,,
